Model,Fold,Feature,Importance
RF_Gene,4,11724672_s_at,0.02388767807125467
RF_Gene,4,11726871_s_at,0.007861802980136846
RF_Gene,4,11729059_x_at,0.013842304448682157
RF_Gene,4,11730732_at,0.0518144232655056
RF_Gene,4,11733088_at,0.1085428888465093
RF_Gene,4,11736610_a_at,0.008370523538705842
RF_Gene,4,11736611_s_at,0.02279966989573607
RF_Gene,4,11736612_x_at,0.032125035094000526
RF_Gene,4,11739025_a_at,0.01412939417989418
RF_Gene,4,11739168_a_at,0.025373469134005837
RF_Gene,4,11739936_a_at,0.05330492951655604
RF_Gene,4,11745779_a_at,0.0066956214703492375
RF_Gene,4,11754183_s_at,0.035979901328690805
RF_Gene,4,11755612_s_at,0.10430109779925957
RF_Gene,4,11758454_s_at,0.03550208000044957
RF_Gene,4,11758776_s_at,0.0003976160572361552
RF_Gene,5,11715380_s_at,0.014129610103115536
RF_Gene,5,11716395_a_at,0.07173018327094413
RF_Gene,5,11718864_s_at,0.05153142884285433
RF_Gene,5,11719368_s_at,0.03385124189408285
RF_Gene,5,11722150_a_at,0.03602617510050119
RF_Gene,5,11722152_s_at,0.021855397325011044
RF_Gene,5,11723945_s_at,0.07799335852343729
RF_Gene,5,11727479_a_at,0.023992596552639106
RF_Gene,5,11729059_x_at,0.05173881045031952
RF_Gene,5,11730049_at,0.014187368421969868
RF_Gene,5,11730732_at,0.05374208946448433
RF_Gene,5,11730733_x_at,0.00414925438071218
RF_Gene,5,11733088_at,0.039727797788456816
RF_Gene,5,11736610_a_at,0.01012105027257624
RF_Gene,5,11736611_s_at,0.0058675645342312
RF_Gene,5,11736612_x_at,0.04213146620871284
RF_Gene,5,11739025_a_at,0.063973574711793
RF_Gene,5,11739168_a_at,0.010165085687736941
RF_Gene,5,11739936_a_at,0.06377448208737559
RF_Gene,5,11745645_x_at,0.04184649464786627
RF_Gene,5,11751778_s_at,0.04373660714285714
RF_Gene,5,11754183_s_at,0.09051905145989257
RF_Gene,5,11755612_s_at,0.1067990506747863
RF_Gene,5,11758454_s_at,0.02373216897375684
RF_Gene,5,11758776_s_at,0.002678091479886672
LogReg_miRNA,1,14q0_st,0.027904463213422256
LogReg_miRNA,1,14qI-4_st,0.022557814155701697
LogReg_miRNA,1,14qI-6_st,0.0156754822601702
LogReg_miRNA,1,14qI-6_x_st,0.0023649567489785568
LogReg_miRNA,1,14qI-7_st,0.03333478763769076
LogReg_miRNA,1,14qI-8_x_st,0.024374112773689484
LogReg_miRNA,1,14qI-9_x_st,0.02038451473185495
LogReg_miRNA,1,14qII-10_st,-0.01984139322812505
LogReg_miRNA,1,14qII-12_st,0.0161487776706803
LogReg_miRNA,1,14qII-12_x_st,0.017540947441866465
LogReg_miRNA,1,14qII-14_st,0.02986034394749202
LogReg_miRNA,1,14qII-14_x_st,0.029201608575086455
LogReg_miRNA,1,14qII-17_st,0.029775301850993856
LogReg_miRNA,1,14qII-1_st,0.03594116783227607
LogReg_miRNA,1,14qII-1_x_st,0.03180244922924343
LogReg_miRNA,1,14qII-21_x_st,0.02004746858451825
LogReg_miRNA,1,14qII-22_x_st,0.016026324514217156
LogReg_miRNA,1,14qII-23_x_st,0.02769664753987267
LogReg_miRNA,1,14qII-26_st,0.020975505209489823
LogReg_miRNA,1,14qII-26_x_st,0.027303241491776518
LogReg_miRNA,1,14qII-28_x_st,0.014041296411330275
LogReg_miRNA,1,14qII-3_st,0.025736626409200436
LogReg_miRNA,1,14qII-3_x_st,0.02401225505860184
LogReg_miRNA,1,14qII-5_x_st,0.00384172880385046
LogReg_miRNA,1,14qII-9_x_st,0.028626653001092
LogReg_miRNA,1,aae-miR-2765_st,-0.01463999984727242
LogReg_miRNA,1,aae-miR-34-star_st,-0.027390696519201466
LogReg_miRNA,1,aga-miR-1175_st,-0.0255398149312579
LogReg_miRNA,1,age-miR-127_st,0.03383935570816309
LogReg_miRNA,1,age-miR-19a_st,0.0008289325228621944
LogReg_miRNA,1,age-miR-19b_st,0.006332909061703828
LogReg_miRNA,1,age-miR-20_st,0.016972809392377473
LogReg_miRNA,1,age-miR-21_st,0.01528449984569735
LogReg_miRNA,1,age-miR-222_st,-0.01659369249011861
LogReg_miRNA,1,age-miR-29a_st,0.02441832263390249
LogReg_miRNA,1,age-miR-34a_st,0.004205323636821269
LogReg_miRNA,1,age-miR-93_st,-0.0042927637824485
LogReg_miRNA,1,ahy-miR3514-3p_st,0.048931930638385225
LogReg_miRNA,1,ame-miR-124_st,0.027766995209361916
LogReg_miRNA,1,aqu-miR-2014-star_st,-0.008797239534910115
LogReg_miRNA,1,ath-miR416_st,-0.03520678830012213
LogReg_miRNA,1,bfl-miR-2061_st,-0.03092345447486038
LogReg_miRNA,1,bhv1-miR-B3_st,0.023142502725046362
LogReg_miRNA,1,bma-miR-2b_st,-0.021613540572043764
LogReg_miRNA,1,bma-miR-92_st,0.010929591084078588
LogReg_miRNA,1,bmo-miR-13a-star_st,-0.022442515966489978
LogReg_miRNA,1,bmo-miR-190-star_st,0.005409380875092816
LogReg_miRNA,1,bmo-miR-2784_st,-0.024998308774341164
LogReg_miRNA,1,bmo-miR-3328_st,-0.03937200594411036
LogReg_miRNA,1,bmo-miR-3368_st,-0.023719357771251958
LogReg_miRNA,1,bmo-miR-92a_st,0.000323223882747884
LogReg_miRNA,1,bra-miR167c_st,-0.04358585980492884
LogReg_miRNA,1,bta-let-7d_st,-0.021450012992907795
LogReg_miRNA,1,bta-let-7e_st,0.014153587318476461
LogReg_miRNA,1,bta-miR-106_st,0.012249099231797551
LogReg_miRNA,1,bta-miR-10b_st,0.00028040162809350993
LogReg_miRNA,1,bta-miR-126_st,0.011146158835356397
LogReg_miRNA,1,bta-miR-127_st,0.029556828928580293
LogReg_miRNA,1,bta-miR-130b_st,0.00035685995888250655
LogReg_miRNA,1,bta-miR-1343_st,-0.00991067760775972
LogReg_miRNA,1,bta-miR-134_st,0.007444710827557649
LogReg_miRNA,1,bta-miR-140_st,-0.008176212096286762
LogReg_miRNA,1,bta-miR-146a_st,0.009269160353425312
LogReg_miRNA,1,bta-miR-146b_st,0.03370959443379897
LogReg_miRNA,1,bta-miR-152_st,0.0214724187577235
LogReg_miRNA,1,bta-miR-155_st,0.02418318982831711
LogReg_miRNA,1,bta-miR-1777a_st,-0.008296816846917006
LogReg_miRNA,1,bta-miR-1777b_st,-0.008861042540590438
LogReg_miRNA,1,bta-miR-181a_st,-0.027147627032372244
LogReg_miRNA,1,bta-miR-181b_st,-0.009047690859476428
LogReg_miRNA,1,bta-miR-18b_st,0.010098616588031895
LogReg_miRNA,1,bta-miR-191_st,-0.010075218339058691
LogReg_miRNA,1,bta-miR-195_st,0.031900420734762895
LogReg_miRNA,1,bta-miR-197_st,-0.023870029650243384
LogReg_miRNA,1,bta-miR-199a-3p_st,0.009606392827507405
LogReg_miRNA,1,bta-miR-19a_st,-0.0001903909575086594
LogReg_miRNA,1,bta-miR-19b_st,0.004577318272673731
LogReg_miRNA,1,bta-miR-20a_st,0.018208793379880323
LogReg_miRNA,1,bta-miR-20b_st,0.009915179796861831
LogReg_miRNA,1,bta-miR-21_st,0.016599254088224977
LogReg_miRNA,1,bta-miR-221_st,-0.01372872767178166
LogReg_miRNA,1,bta-miR-222_st,-0.027663855181881886
LogReg_miRNA,1,bta-miR-2288_st,0.002701479108017117
LogReg_miRNA,1,bta-miR-2309_st,-0.009529230567825566
